Sample ID,AS Loc,Date,Time,Analyte,Wavelength,Abs,RSD,Repl,Abs1,Repl,Abs2,Repl,Abs3
JRB,38,09/20/23,05:16:03 PM,Ca 422.67,422.67,-0.0002115264277,221.4483251,1,-0.0004357293768,2,0.0003268598067,3,-0.0005257097129
JRL,39,09/20/23,05:16:42 PM,Ca 422.67,422.67,0.1655450053,1.508028668,1,0.1674826391,2,0.1627278041,3,0.1664245728
JRML,40,09/20/23,05:17:22 PM,Ca 422.67,422.67,0.2831571834,0.940389826,1,0.286070751,2,0.2808496661,3,0.2825511332
JRM,41,09/20/23,05:18:02 PM,Ca 422.67,422.67,0.3861306502,0.8853961458,1,0.3896000309,2,0.3860271082,3,0.3827648114
JRMH,42,09/20/23,05:18:42 PM,Ca 422.67,422.67,0.606302796,0.177708297,1,0.6058738046,2,0.6075286641,3,0.6055059193
JRH,43,09/20/23,05:19:22 PM,Ca 422.67,422.67,0.8462057969,0.3473474309,1,0.8431547935,2,0.84901888,3,0.8464437172
JRQC,44,09/20/23,05:20:02 PM,Ca 422.67,422.67,0.2886675621,0.5937894601,1,0.2875512648,2,0.2906411514,3,0.2878102701
JRS1J,45,09/20/23,05:20:42 PM,Ca 422.67,422.67,0.08117295213,1.4846865,1,0.08089070675,2,0.08013395911,3,0.08249419053
JRS2R,46,09/20/23,05:21:22 PM,Ca 422.67,422.67,0.08279351401,0.6831370346,1,0.08247821596,2,0.08344647705,3,0.08245584902
CBB,50,09/20/23,05:22:02 PM,Ca 422.67,422.67,-0.0003173174805,87.23287524,1,-1.42E-05,2,-0.0003810546775,3,-0.0005566946652
CBL,51,09/20/23,05:22:43 PM,Ca 422.67,422.67,0.1354366521,0.1919333449,1,0.1352706124,2,0.1353031168,3,0.1357362271
CBML,52,09/20/23,05:23:23 PM,Ca 422.67,422.67,0.3265585198,0.8921228741,1,0.3234420965,2,0.329213666,3,0.3270197968
CBM,53,09/20/23,05:24:03 PM,Ca 422.67,422.67,0.6099060484,0.6283152515,1,0.6122202573,2,0.6120152214,3,0.6054826664
CBMH,54,09/20/23,05:24:44 PM,Ca 422.67,422.67,0.8581820933,0.6257708331,1,0.8643681382,2,0.8547159006,3,0.8554622412
CBH,55,09/20/23,05:25:24 PM,Ca 422.67,422.67,1.082762913,0.2681682711,1,1.0816201,2,1.080604571,3,1.086064069
CBQC,56,09/20/23,05:26:04 PM,Ca 422.67,422.67,0.2872612483,0.2295278912,1,0.2877086016,2,0.2875710899,3,0.2865040535
CBS1C,57,09/20/23,05:26:44 PM,Ca 422.67,422.67,0.07957948805,1.288874015,1,0.07894432708,2,0.08076277404,3,0.07903136303
CBS2B,58,09/20/23,05:27:25 PM,Ca 422.67,422.67,0.120695776,0.5483817095,1,0.119932512,2,0.1211112853,3,0.1210435306
GZB,62,09/20/23,05:28:05 PM,Ca 422.67,422.67,0.0002116719668,406.1202364,1,0.0009170701155,2,0.0004637833147,3,-0.0007458375297
GZL,63,09/20/23,05:28:46 PM,Ca 422.67,422.67,0.5960690871,0.4153769636,1,0.5974871094,2,0.5932101557,3,0.5975099962
GZML,64,09/20/23,05:29:29 PM,Ca 422.67,422.67,0.3972463074,0.547785233,1,0.3950861072,2,0.3994378811,3,0.3972149338
GZM,65,09/20/23,05:30:09 PM,Ca 422.67,422.67,0.7677262775,0.4536470471,1,0.7642747342,2,0.7712394514,3,0.767664647
GZMH,66,09/20/23,05:30:50 PM,Ca 422.67,422.67,0.9875839048,0.3976989861,1,0.9921190731,2,0.9853340988,3,0.9852985426
GZH,67,09/20/23,05:31:31 PM,Ca 422.67,422.67,1.091349464,0.9759862129,1,1.084234211,2,1.103595165,3,1.086219016
GZQC,68,09/20/23,05:32:11 PM,Ca 422.67,422.67,0.2891626958,0.875127722,1,0.2920808579,2,0.2878335943,3,0.2875736351
GZS1Z,69,09/20/23,05:32:52 PM,Ca 422.67,422.67,0.2008022219,0.5905194769,1,0.2001735186,2,0.2021699559,3,0.2000631913
GZS1G,70,09/20/23,05:33:32 PM,Ca 422.67,422.67,1.246153191,0.4007799457,1,1.249855011,2,1.240472692,3,1.248131871
LWB,98,09/20/23,05:34:13 PM,Ca 422.67,422.67,0.0002038162939,78.65158496,1,7.81E-05,2,0.0001489782505,3,0.0003843437844
LWL,99,09/20/23,05:34:55 PM,Ca 422.67,422.67,0.07628836351,0.142070527,1,0.07618819575,2,0.07640342239,3,0.07627347239
LWML,100,09/20/23,05:35:37 PM,Ca 422.67,422.67,0.2689901661,0.3843834079,1,0.2701813503,2,0.2683247872,3,0.2684643609
LWM,101,09/20/23,05:36:19 PM,Ca 422.67,422.67,0.5594190796,0.8963944018,1,0.5650622457,2,0.5577209881,3,0.555474005
LWMH,102,09/20/23,05:37:01 PM,Ca 422.67,422.67,0.7724944132,0.5684105533,1,0.7775018072,2,0.7706798145,3,0.769301618
LWH,103,09/20/23,05:37:43 PM,Ca 422.67,422.67,1.001307378,1.055242937,1,1.010534427,2,0.9897807287,3,1.00360698
LWQC,104,09/20/23,05:38:25 PM,Ca 422.67,422.67,0.2904414778,0.5221495347,1,0.2891307642,2,0.2900911448,3,0.2921025246
LWS1L-F,105,09/20/23,05:39:07 PM,Ca 422.67,422.67,0.005059565111,10.25805186,1,0.005608126534,2,0.004994292951,3,0.004576275848
LWS2W-F,106,09/20/23,05:39:49 PM,Ca 422.67,422.67,0.104821965,1.799664024,1,0.1026558539,2,0.1057059229,3,0.1061041183
LWS2L-UF,107,09/20/23,05:40:30 PM,Ca 422.67,422.67,0.008119387404,7.888621098,1,0.008683304789,2,0.007423003796,3,0.008251853627
LWS2W-UF,108,09/20/23,05:41:12 PM,Ca 422.67,422.67,0.1501449093,0.3428259024,1,0.1501538966,2,0.1506550925,3,0.1496257389
HAB,110,09/20/23,05:41:54 PM,Ca 422.67,422.67,0.0008356928823,46.86619347,1,0.0006689268468,2,0.001283132722,3,0.000555019078
HAL,111,09/20/23,05:42:37 PM,Ca 422.67,422.67,0.1504988535,1.289382148,1,0.1487287301,2,0.1501941428,3,0.1525736876
HAML,112,09/20/23,05:43:19 PM,Ca 422.67,422.67,1.732995811,0.3862862149,1,1.734967159,2,1.725537169,3,1.738483105
HAM,113,09/20/23,05:44:01 PM,Ca 422.67,422.67,0.5614240456,1.02242205,1,0.555454869,2,0.5619134959,3,0.5669037718
HAMH,114,09/20/23,05:44:43 PM,Ca 422.67,422.67,0.8416389261,0.4997828684,1,0.8368726091,2,0.8448315235,3,0.8432126458
HAH,115,09/20/23,05:45:25 PM,Ca 422.67,422.67,1.008704729,0.3548850014,1,1.012406543,2,1.008446612,3,1.005261032
HAQC,116,09/20/23,05:46:08 PM,Ca 422.67,422.67,0.2860512506,0.6950895154,1,0.2883422795,2,0.2850352567,3,0.2847762157
HAS1,117,09/20/23,05:46:50 PM,Ca 422.67,422.67,0.1759011079,0.5504328019,1,0.1749536647,2,0.1758608174,3,0.1768888416
HAS2,118,09/20/23,05:47:32 PM,Ca 422.67,422.67,0.2350613889,2.300369965,1,0.2412466938,2,0.2327071103,3,0.2312303625
CSMKB,122,09/20/23,05:48:14 PM,Ca 422.67,422.67,-0.001709399011,28.75489036,1,-0.001255858676,2,-0.001640647053,3,-0.002231691305
CSMKL,123,09/20/23,05:48:57 PM,Ca 422.67,422.67,0.3512525588,1.077520074,1,0.3494236547,2,0.3487295452,3,0.3556044766
CSMKML,124,09/20/23,05:49:39 PM,Ca 422.67,422.67,1.084631766,0.7739581408,1,1.08037881,2,1.079214802,3,1.094301685
CSMKM,125,09/20/23,05:50:22 PM,Ca 422.67,422.67,1.139662701,0.8451374186,1,1.128895797,2,1.14263259,3,1.147459716
CSMKMH,126,09/20/23,05:51:05 PM,Ca 422.67,422.67,1.224247114,0.7710472894,1,1.232652954,2,1.226053436,3,1.214034951
CSMKH,127,09/20/23,05:51:47 PM,Ca 422.67,422.67,1.28620752,1.011486796,1,1.271283159,2,1.292185457,3,1.295153944
CSMKQC,128,09/20/23,05:52:30 PM,Ca 422.67,422.67,0.2613632629,0.1419897553,1,0.2609361697,2,0.2616070668,3,0.261546552
CSMKS1C,129,09/20/23,05:53:12 PM,Ca 422.67,422.67,0.1341069282,0.6467663483,1,0.133590793,2,0.1351083087,3,0.133621683
CSMKS2S,130,09/20/23,05:53:55 PM,Ca 422.67,422.67,0.1288579547,1.177198817,1,0.1274179364,2,0.1304415549,3,0.1287143728
CSMKS3M,131,09/20/23,05:54:38 PM,Ca 422.67,422.67,0.1247878992,0.8062427146,1,0.1259085315,2,0.1244928403,3,0.123962326
CSMKS4K,132,09/20/23,05:55:20 PM,Ca 422.67,422.67,0.1393170663,0.6465238293,1,0.1392743817,2,0.1384384494,3,0.1402383677
JRB,38,09/20/23,06:00:31 PM,Mg 202.58,202.58,-0.0002696557961,155.168806,1,-0.0006077627677,2,0.0001982947597,3,-0.0003994993805
JRL,39,09/20/23,06:01:06 PM,Mg 202.58,202.58,0.00378745242,20.29903954,1,0.004615871203,2,0.003649595151,3,0.003096890906
JRML,40,09/20/23,06:01:41 PM,Mg 202.58,202.58,0.006432322516,6.521630248,1,0.006797135819,2,0.005973949884,3,0.006525881844
JRM,41,09/20/23,06:02:16 PM,Mg 202.58,202.58,0.009223051737,7.097567361,1,0.008578017644,2,0.009204298303,3,0.009886839263
JRMH,42,09/20/23,06:02:50 PM,Mg 202.58,202.58,0.01270346126,2.23671086,1,0.01297668644,2,0.01272415846,3,0.01240953889
JRH,43,09/20/23,06:03:25 PM,Mg 202.58,202.58,0.01722940691,1.135846557,1,0.0170039253,2,0.01735506577,3,0.01732922965
JRQC,44,09/20/23,06:04:00 PM,Mg 202.58,202.58,0.006601656332,5.025235227,1,0.006241088497,2,0.006893968669,3,0.00666991183
JRS1J,45,09/20/23,06:04:35 PM,Mg 202.58,202.58,-0.001409142079,6.206740567,1,-0.001405304543,2,-0.001498459475,3,-0.001323662218
JRS2R,46,09/20/23,06:05:10 PM,Mg 202.58,202.58,-0.001826595635,20.90709306,1,-0.002192188899,2,-0.001857328056,3,-0.001430269951
CBB,50,09/20/23,06:05:45 PM,Mg 202.58,202.58,-0.0009230081276,110.0194065,1,-0.00123431526,2,-0.001746400991,3,0.0002116918678
CBL,51,09/20/23,06:06:20 PM,Mg 202.58,202.58,0.002798295642,12.14814042,1,0.00245038554,2,0.002814838099,3,0.003129663288
CBML,52,09/20/23,06:06:55 PM,Mg 202.58,202.58,0.00707630408,11.02274716,1,0.006203369815,2,0.007320692651,3,0.007704849774
CBM,53,09/20/23,06:07:31 PM,Mg 202.58,202.58,0.01218748283,4.403707021,1,0.01268829322,2,0.01225321006,3,0.0116209452
CBMH,54,09/20/23,06:08:06 PM,Mg 202.58,202.58,0.01680290273,3.757687204,1,0.01697422411,2,0.01610352113,3,0.01733096296
CBH,55,09/20/23,06:08:41 PM,Mg 202.58,202.58,0.02098822583,0.4453182974,1,0.02089044354,2,0.02107667154,3,0.02099756241
CBQC,56,09/20/23,06:09:16 PM,Mg 202.58,202.58,0.006192182372,6.802080522,1,0.006004926779,2,0.005897083253,3,0.006674537083
CBS1C,57,09/20/23,06:09:51 PM,Mg 202.58,202.58,-0.00188279175,13.72830048,1,-0.00173078459,2,-0.001736354656,3,-0.002181236002
CBS2B,58,09/20/23,06:10:26 PM,Mg 202.58,202.58,-0.001777496593,45.77475984,1,-0.002695651612,2,-0.00149093394,3,-0.001145904226
GZB,62,09/20/23,06:11:01 PM,Mg 202.58,202.58,0.0007935065967,76.43270483,1,0.001445792297,2,0.0006881193138,3,0.0002466081789
GZL,63,09/20/23,06:11:37 PM,Mg 202.58,202.58,0.01109933328,1.609988815,1,0.01090868384,2,0.01126301425,3,0.01112630174
GZML,64,09/20/23,06:12:12 PM,Mg 202.58,202.58,0.009659675818,3.873441906,1,0.009434215595,2,0.0100915813,3,0.009453230561
GZM,65,09/20/23,06:12:48 PM,Mg 202.58,202.58,0.01628789516,4.400445983,1,0.01549135697,2,0.01688074446,3,0.01649158404
GZMH,66,09/20/23,06:13:23 PM,Mg 202.58,202.58,0.02001051293,0.451397889,1,0.01991506892,2,0.02009466026,3,0.02002180961
GZH,67,09/20/23,06:13:58 PM,Mg 202.58,202.58,0.0199730252,2.396793736,1,0.02013598971,2,0.01943410737,3,0.02034897854
GZQC,68,09/20/23,06:14:34 PM,Mg 202.58,202.58,0.006515240649,2.803858265,1,0.006479070949,2,0.00635335298,3,0.006713298019
GZS1Z,69,09/20/23,06:15:09 PM,Mg 202.58,202.58,-0.0004388507471,24.66115713,1,-0.0004728958941,2,-0.0003176960838,3,-0.0005259602633
GZS1G,70,09/20/23,06:15:45 PM,Mg 202.58,202.58,0.004581384637,3.431465688,1,0.004687405934,2,0.004655983434,3,0.004400764543
LWB,98,09/20/23,06:16:20 PM,Mg 202.58,202.58,-0.000182510064,174.768287,1,-0.0005493681552,2,2.93E-05,3,-2.74E-05
LWL,99,09/20/23,06:16:57 PM,Mg 202.58,202.58,0.001576587247,28.77434257,1,0.001078809266,2,0.001966768512,3,0.001684183963
LWML,100,09/20/23,06:17:34 PM,Mg 202.58,202.58,0.006554091568,15.34663652,1,0.006839433064,2,0.005436415993,3,0.007386425647
LWM,101,09/20/23,06:18:10 PM,Mg 202.58,202.58,0.01242048169,3.12117755,1,0.01283182872,2,0.01206190432,3,0.01236771203
LWMH,102,09/20/23,06:18:47 PM,Mg 202.58,202.58,0.01597932403,6.08329867,1,0.01555625404,2,0.01529048191,3,0.01709123613
LWH,103,09/20/23,06:19:24 PM,Mg 202.58,202.58,0.01924742448,1.700711681,1,0.01887657997,2,0.01936952746,3,0.019496166
LWQC,104,09/20/23,06:20:01 PM,Mg 202.58,202.58,0.007211774325,7.468195099,1,0.007799957403,2,0.006742728458,3,0.007092637114
LWS1L-F,105,09/20/23,06:20:37 PM,Mg 202.58,202.58,-0.002311596081,30.07504488,1,-0.00309870011,2,-0.002054690789,3,-0.001781397342
LWS2W-F,106,09/20/23,06:21:14 PM,Mg 202.58,202.58,-0.001055763825,19.97148824,1,-0.001273695762,2,-0.001040806967,3,-0.0008527887457
LWS2L-UF,107,09/20/23,06:21:51 PM,Mg 202.58,202.58,-0.0004853219527,68.69348278,1,-0.0003329491064,2,-0.0002553513144,3,-0.0008676654374
LWS2W-UF,108,09/20/23,06:22:27 PM,Mg 202.58,202.58,0.0008707581974,60.6735711,1,0.001408929221,2,0.0003528734015,3,0.0008504719697
HAB,110,09/20/23,06:23:04 PM,Mg 202.58,202.58,-0.001136619984,66.0168972,1,-0.001551804144,2,-0.0002704243927,3,-0.001587631414
HAL,111,09/20/23,06:23:41 PM,Mg 202.58,202.58,0.002895589445,14.62202994,1,0.002421903179,2,0.003237210593,3,0.003027654562
HAML,112,09/20/23,06:24:18 PM,Mg 202.58,202.58,0.02602618993,1.92733381,1,0.0266026859,2,0.02578645436,3,0.02568942953
HAM,113,09/20/23,06:24:55 PM,Mg 202.58,202.58,0.0123237841,6.733010235,1,0.01157571333,2,0.01217936314,3,0.01321627583
HAMH,114,09/20/23,06:25:32 PM,Mg 202.58,202.58,0.01643851823,1.14691927,1,0.01665035242,2,0.01637608366,3,0.01628911861
HAH,115,09/20/23,06:26:09 PM,Mg 202.58,202.58,0.01931335574,4.081390928,1,0.01853645904,2,0.01929111283,3,0.02011249533
HAQC,116,09/20/23,06:26:46 PM,Mg 202.58,202.58,0.007040956338,7.509272352,1,0.006764501489,2,0.007650595712,3,0.006707771811
HAS1,117,09/20/23,06:27:23 PM,Mg 202.58,202.58,0.001133791882,72.1283131,1,0.001362529661,2,0.0002259927752,3,0.001812853211
HAS2,118,09/20/23,06:28:00 PM,Mg 202.58,202.58,0.0005484788534,200.1668964,1,0.001787747589,2,-0.000302423953,3,0.0001601129244
CSMKB,122,09/20/23,06:28:37 PM,Mg 202.58,202.58,-0.0001293548888,160.4466171,1,-0.0002642091925,2,-0.0002334966446,3,0.0001096411707
CSMKL,123,09/20/23,06:29:14 PM,Mg 202.58,202.58,0.008142635355,8.291030271,1,0.007399518421,2,0.008310222704,3,0.008718164941
CSMKML,124,09/20/23,06:29:52 PM,Mg 202.58,202.58,0.02250731437,0.5936301368,1,0.02254940829,2,0.0226148083,3,0.02235772651
CSMKM,125,09/20/23,06:30:29 PM,Mg 202.58,202.58,0.02382344432,0.7449242689,1,0.02400949314,2,0.02365603054,3,0.02380480928
CSMKMH,126,09/20/23,06:31:06 PM,Mg 202.58,202.58,0.02466776883,0.9799985216,1,0.02451987302,2,0.02494674154,3,0.02453669192
CSMKH,127,09/20/23,06:31:44 PM,Mg 202.58,202.58,0.02523127044,0.9142559964,1,0.02543773431,2,0.02498229205,3,0.02527378495
CSMKQC,128,09/20/23,06:32:21 PM,Mg 202.58,202.58,0.01017518026,5.878251139,1,0.009841898858,2,0.01086569435,3,0.009817947563
CSMKS1C,129,09/20/23,06:32:58 PM,Mg 202.58,202.58,-0.0008282527912,70.82963746,1,-0.001394828125,2,-0.0008665249107,3,-0.0002234053378
CSMKS2S,130,09/20/23,06:33:36 PM,Mg 202.58,202.58,-0.0002974151166,133.4609063,1,4.46E-05,2,-0.0002042434631,3,-0.0007326460481
CSMKS3M,131,09/20/23,06:34:13 PM,Mg 202.58,202.58,0.004528429663,7.867393221,1,0.004154352673,2,0.004863716824,3,0.004567219491
CSMKS4K,132,09/20/23,06:34:50 PM,Mg 202.58,202.58,0.004797455632,14.00085605,1,0.005038092309,2,0.005315675498,3,0.004038599088
